vehicle,law,param,value,group,route,score
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2004,0.07193670380357398
fixed_wing,lead_vf,lead_time,0.2,limit respected,2004,0.01628787412270543
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2004,0.01836094474441685
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2004,0.038463633132265904
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2004,0.20829336712702673
fixed_wing,lead_vf,lead_time,0.2,limit respected,2004,0.037245316330890454
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2004,0.6096970004222064
fixed_wing,lead_vf,lead_time,0.2,limit respected,2004,0.03442993966906982
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2004,0.03524351402876737
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2005,0.04635082816002592
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2005,0.14141647665728493
fixed_wing,lead_vf,lead_time,0.2,limit respected,2005,0.013244498092754593
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2005,0.01426175981335313
fixed_wing,lead_vf,lead_time,0.2,limit respected,2005,0.010622600423675216
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2005,0.010891267182707765
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2005,0.02270170145610932
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2005,0.18082027760585018
fixed_wing,lead_vf,lead_time,0.2,limit respected,2005,0.026082227917555163
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2005,0.08116421176166314
fixed_wing,lead_vf,lead_time,0.2,limit respected,2005,0.018968229587292322
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2005,0.040450355233429255
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2005,0.18954547155911464
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2005,0.03434001119303241
fixed_wing,lead_vf,lead_time,0.2,limit respected,2005,0.03049408937129431
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2005,0.37201402955550406
fixed_wing,lead_vf,lead_time,0.2,limit respected,2005,0.03463182409281808
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2005,0.02814746562456453
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2000,0.02297617492427116
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2000,0.12445051126449544
fixed_wing,lead_vf,lead_time,0.4,limit respected,2000,0.007114034059252551
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2000,0.0071870050457110875
fixed_wing,lead_vf,lead_time,0.4,limit respected,2000,0.006366333129027567
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2000,0.0064438440310188696
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2000,0.10852025905453397
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2000,0.10799961405441469
fixed_wing,lead_vf,lead_time,0.4,limit respected,2000,0.016517347704747123
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2000,0.020976026756428234
fixed_wing,lead_vf,lead_time,0.4,limit respected,2000,0.019248820195750485
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2000,0.01524569972695182
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2000,0.1338612335409175
fixed_wing,lead_vf,lead_time,0.4,planned at limit,2000,0.03488905572122587
fixed_wing,lead_vf,lead_time,0.4,limit respected,2000,0.03440468852936615
fixed_wing,lead_vf,lead_time,0.4,vehicle 20% weaker,2000,0.09968618848042678
