vehicle,condition,perturbation,law,route,seed,score,completed,sat_fraction
fixed_wing,typical,none,vector_field,2006,1,0.01169384973366347,True,0.016469745793054064
fixed_wing,typical,none,vector_field,2007,0,0.011401882244862459,True,0.013186029935851747
fixed_wing,typical,none,vector_field,2007,1,0.015087377144020638,True,0.030758226037195996
fixed_wing,typical,none,vector_field,2008,0,0.05180597878786228,True,0.14490311710193765
fixed_wing,typical,none,vector_field,2008,1,0.04724674385568118,True,0.16673792218896966
fixed_wing,typical,none,vector_field,2009,0,0.06712383460672008,True,0.06205871423262728
fixed_wing,typical,none,vector_field,2009,1,0.02798017704768259,True,0.059077809798270896
fixed_wing,typical,none,vector_field,2010,0,0.025040715225822914,True,0.03933253873659118
fixed_wing,typical,none,vector_field,2010,1,0.03576028985337662,True,0.08888888888888889
fixed_wing,typical,none,vector_field,2011,0,0.012638493006640397,True,0.030537030537030538
fixed_wing,typical,none,vector_field,2011,1,0.05290664884638514,True,0.11653813196229648
fixed_wing,typical,none,lead_vf,2000,0,0.027918155809422446,True,0.0
fixed_wing,typical,none,lead_vf,2000,1,0.026382200718339598,True,0.0
fixed_wing,typical,none,lead_vf,2001,0,0.02360077851876734,True,0.00385559060637925
fixed_wing,typical,none,lead_vf,2001,1,0.028570326567776104,True,0.0
fixed_wing,typical,none,lead_vf,2002,0,0.04325577883524174,True,0.021729490022172948
fixed_wing,typical,none,lead_vf,2002,1,0.03406593454965681,True,0.0
fixed_wing,typical,none,lead_vf,2003,0,0.04184521898880278,True,0.006924643584521385
fixed_wing,typical,none,lead_vf,2003,1,0.031076911748982895,True,0.0
fixed_wing,typical,none,lead_vf,2004,0,0.035817725338049,True,0.018105263157894735
fixed_wing,typical,none,lead_vf,2004,1,0.02560190996273906,True,0.0
fixed_wing,typical,none,lead_vf,2005,0,0.03471036661297034,True,0.0
fixed_wing,typical,none,lead_vf,2005,1,0.02671112284365637,True,0.0010725777618877368
fixed_wing,typical,none,lead_vf,2006,0,0.03546377229596153,True,0.004036697247706422
fixed_wing,typical,none,lead_vf,2006,1,0.032888604764018406,True,0.0
fixed_wing,typical,none,lead_vf,2007,0,0.02954263152853219,True,0.0
fixed_wing,typical,none,lead_vf,2007,1,0.02969205280177928,True,0.0007171029042667623
fixed_wing,typical,none,lead_vf,2008,0,0.050279902611271576,True,0.05560271646859083
fixed_wing,typical,none,lead_vf,2008,1,0.04039385693662832,True,0.03150625809236081
fixed_wing,typical,none,lead_vf,2009,0,0.04194523791595316,True,0.011580127007844603
fixed_wing,typical,none,lead_vf,2009,1,0.03885526273034923,True,0.0003614022406938923
fixed_wing,typical,none,lead_vf,2010,0,0.034592668171930324,True,0.0
fixed_wing,typical,none,lead_vf,2010,1,0.0338790412601016,True,0.001994415636218588
fixed_wing,typical,none,lead_vf,2011,0,0.03009301745188426,True,0.0
fixed_wing,typical,none,lead_vf,2011,1,0.03266946144221213,True,0.021551724137931036
fixed_wing,typical,position noise,pure_pursuit,2000,0,0.02640658269183279,True,0.003795066413662239
fixed_wing,typical,position noise,pure_pursuit,2000,1,0.021052970269864378,True,0.003769317753486619
fixed_wing,typical,position noise,pure_pursuit,2001,0,0.022042064460725864,True,0.0035026269702276708
fixed_wing,typical,position noise,pure_pursuit,2001,1,0.027372171277936525,True,0.004259850905218318
fixed_wing,typical,position noise,pure_pursuit,2002,0,0.03744706331219756,True,0.011519716437749225
fixed_wing,typical,position noise,pure_pursuit,2002,1,0.028145103195599555,True,0.0031201248049922
fixed_wing,typical,position noise,pure_pursuit,2003,0,0.03648391295301642,True,0.004475183075671277
fixed_wing,typical,position noise,pure_pursuit,2003,1,0.02493812491801966,True,0.0039032006245121
fixed_wing,typical,position noise,pure_pursuit,2004,0,0.03602928794560557,True,0.010101010101010102
fixed_wing,typical,position noise,pure_pursuit,2004,1,0.025057229449693158,True,0.0030779753761969904
fixed_wing,typical,position noise,pure_pursuit,2005,0,0.0301038053245747,True,0.00394045534150613
fixed_wing,typical,position noise,pure_pursuit,2005,1,0.025303279016274098,True,0.0025026814444047193
fixed_wing,typical,position noise,pure_pursuit,2006,0,0.03445497792311705,True,0.007695126419934042
fixed_wing,typical,position noise,pure_pursuit,2006,1,0.03053639109904429,True,0.0035842293906810036
fixed_wing,typical,position noise,pure_pursuit,2007,0,0.02700532115329595,True,0.0032119914346895075
fixed_wing,typical,position noise,pure_pursuit,2007,1,0.027003726609709976,True,0.0032234957020057307
fixed_wing,typical,position noise,pure_pursuit,2008,0,0.04211399728020562,True,0.04368108566581849
fixed_wing,typical,position noise,pure_pursuit,2008,1,0.032140781874197076,True,0.018973695558430356
fixed_wing,typical,position noise,pure_pursuit,2009,0,0.03401996325896398,True,0.009705113848450915
fixed_wing,typical,position noise,pure_pursuit,2009,1,0.034544091742772315,True,0.0036114120621162874
fixed_wing,typical,position noise,pure_pursuit,2010,0,0.03286281624987333,True,0.0027877339705296694
fixed_wing,typical,position noise,pure_pursuit,2010,1,0.02768931082539468,True,0.0027899561578318055
fixed_wing,typical,position noise,pure_pursuit,2011,0,0.026825593578125924,True,0.004216444132115249
fixed_wing,typical,position noise,pure_pursuit,2011,1,0.02755986118205361,True,0.017219113215669393
fixed_wing,typical,position noise,l1,2000,0,0.02643899615425504,True,0.003795066413662239
fixed_wing,typical,position noise,l1,2000,1,0.02080860253955621,True,0.003769317753486619
fixed_wing,typical,position noise,l1,2001,0,0.021859388524829625,True,0.004203152364273205
fixed_wing,typical,position noise,l1,2001,1,0.02670931956630225,True,0.004259850905218318
fixed_wing,typical,position noise,l1,2002,0,0.03715143489612582,True,0.0101905183872397
fixed_wing,typical,position noise,l1,2002,1,0.02786053587943063,True,0.0031201248049922
fixed_wing,typical,position noise,l1,2003,0,0.035992911768108475,True,0.004475183075671277
fixed_wing,typical,position noise,l1,2003,1,0.02465999357808798,True,0.0039032006245121
fixed_wing,typical,position noise,l1,2004,0,0.03573997989730479,True,0.010521885521885523
fixed_wing,typical,position noise,l1,2004,1,0.024801321605603395,True,0.0030779753761969904
fixed_wing,typical,position noise,l1,2005,0,0.029601957200490595,True,0.00394045534150613
fixed_wing,typical,position noise,l1,2005,1,0.025224729805344646,True,0.0025026814444047193
fixed_wing,typical,position noise,l1,2006,0,0.03388005399137452,True,0.007695126419934042
fixed_wing,typical,position noise,l1,2006,1,0.03004058673094006,True,0.0032269630692004303
fixed_wing,typical,position noise,l1,2007,0,0.0266474117987855,True,0.0032119914346895075
fixed_wing,typical,position noise,l1,2007,1,0.026871826224657662,True,0.0064469914040114614
fixed_wing,typical,position noise,l1,2008,0,0.04138283449305508,True,0.041560644614079725
fixed_wing,typical,position noise,l1,2008,1,0.031906863017334336,True,0.017680034497628287
fixed_wing,typical,position noise,l1,2009,0,0.033918395594446586,True,0.008965259618976467
fixed_wing,typical,position noise,l1,2009,1,0.03429447213722758,True,0.0032502708559046588
fixed_wing,typical,position noise,l1,2010,0,0.03274586852630429,True,0.0027877339705296694
fixed_wing,typical,position noise,l1,2010,1,0.027714986088066204,True,0.0027899561578318055
fixed_wing,typical,position noise,l1,2011,0,0.026594724439628223,True,0.004216444132115249
fixed_wing,typical,position noise,l1,2011,1,0.02730046916046261,True,0.017219113215669393
fixed_wing,typical,position noise,vector_field,2000,0,0.017967164856792256,True,0.03411675511751327
fixed_wing,typical,position noise,vector_field,2000,1,0.01427201075931692,True,0.03278070836473248
fixed_wing,typical,position noise,vector_field,2001,0,0.016404488767102578,True,0.037425673312346974
fixed_wing,typical,position noise,vector_field,2001,1,0.015189074286722127,True,0.03086200780418588
fixed_wing,typical,position noise,vector_field,2002,0,0.052246518702910576,True,0.14185022026431718
fixed_wing,typical,position noise,vector_field,2002,1,0.01527878313620682,True,0.05646417445482866
fixed_wing,typical,position noise,vector_field,2003,0,0.0154115327667516,True,0.08038976857490865
fixed_wing,typical,position noise,vector_field,2003,1,0.016208141401719042,True,0.04440981690689521
fixed_wing,typical,position noise,vector_field,2004,0,0.025567197355436763,True,0.10155266470835082
fixed_wing,typical,position noise,vector_field,2004,1,0.013671474566592928,True,0.030064912880081996
fixed_wing,typical,position noise,vector_field,2005,0,0.03832269703110942,True,0.07517482517482517
fixed_wing,typical,position noise,vector_field,2005,1,0.01353538785660706,True,0.03070332024277044
fixed_wing,typical,position noise,vector_field,2006,0,0.04691244230596986,True,0.07447973713033954
fixed_wing,typical,position noise,vector_field,2006,1,0.017700689543232888,True,0.052989616899391336
fixed_wing,typical,position noise,vector_field,2007,0,0.014394958519656319,True,0.03492516037063435
fixed_wing,typical,position noise,vector_field,2007,1,0.013862977177611546,True,0.05185979971387697
fixed_wing,typical,position noise,vector_field,2008,0,0.06505843051875708,True,0.1675084175084175
fixed_wing,typical,position noise,vector_field,2008,1,0.04027131939387664,True,0.1797175866495507
fixed_wing,typical,position noise,vector_field,2009,0,0.04937546918601267,True,0.07517677707480462
fixed_wing,typical,position noise,vector_field,2009,1,0.03781241431019637,True,0.06520172910662825
fixed_wing,typical,position noise,vector_field,2010,0,0.026906176954047338,True,0.06277314263011521
fixed_wing,typical,position noise,vector_field,2010,1,0.043659680187223576,True,0.10943695479777954
fixed_wing,typical,position noise,vector_field,2011,0,0.015619068699543263,True,0.0351000351000351
fixed_wing,typical,position noise,vector_field,2011,1,0.06455712039351315,True,0.12425021422450729
fixed_wing,typical,position noise,lead_vf,2000,0,0.03003646563631151,True,0.0
fixed_wing,typical,position noise,lead_vf,2000,1,0.02297516855075042,True,0.0
fixed_wing,typical,position noise,lead_vf,2001,0,0.023389830723398102,True,0.003155680224403927
fixed_wing,typical,position noise,lead_vf,2001,1,0.026773769607559672,True,0.0
fixed_wing,typical,position noise,lead_vf,2002,0,0.04397169724060572,True,0.02394678492239468
fixed_wing,typical,position noise,lead_vf,2002,1,0.032818511556563686,True,0.0
fixed_wing,typical,position noise,lead_vf,2003,0,0.04151196573023909,True,0.007748776508972268
fixed_wing,typical,position noise,lead_vf,2003,1,0.03186803817131402,True,0.0
fixed_wing,typical,position noise,lead_vf,2004,0,0.03656282667675508,True,0.019797809604043808
fixed_wing,typical,position noise,lead_vf,2004,1,0.025325169145218117,True,0.0
fixed_wing,typical,position noise,lead_vf,2005,0,0.03508027579147251,True,0.0017543859649122807
fixed_wing,typical,position noise,lead_vf,2005,1,0.027826412434334487,True,0.0014301036825169824
fixed_wing,typical,position noise,lead_vf,2006,0,0.03584563691341909,True,0.011021307861866276
fixed_wing,typical,position noise,lead_vf,2006,1,0.03403729907174722,True,0.0
fixed_wing,typical,position noise,lead_vf,2007,0,0.029201532557702324,True,0.0007147962830593281
fixed_wing,typical,position noise,lead_vf,2007,1,0.031072628393248543,True,0.0014352350197344816
