t,x,y,a_cmd,a_sat,cte
6.950000000000000178e+00,4.670916944554794981e+01,-9.627360075552916507e-01,1.800696010304030370e-01,1.800696010304030370e-01,4.728850727512510788e-01
7.000000000000000000e+00,4.704842093539668468e+01,-9.688716112730574315e-01,1.831073272192504098e-01,1.831073272192504098e-01,5.249606808020679249e-01
7.050000000000000711e+00,4.738650030736521757e+01,-9.748041902982241824e-01,2.887714094213556515e-01,2.887714094213556515e-01,4.819022620892942088e-01
7.100000000000000533e+00,4.772300744077926282e+01,-9.877350902918257125e-01,3.313983696494672837e-01,3.313983696494672837e-01,4.838931356795417305e-01
7.150000000000000355e+00,4.805966671701177972e+01,-1.002602125533366806e+00,3.381052862267234782e-01,3.381052862267234782e-01,5.377160769932796125e-01
7.200000000000000178e+00,4.839350838148888556e+01,-1.018188079114679123e+00,3.717403652970919792e-01,3.717403652970919792e-01,5.169589532449037073e-01
7.250000000000000000e+00,4.872915822727718904e+01,-1.035840277751959526e+00,3.365360182664828281e-01,3.365360182664828281e-01,5.196792797679472553e-01
7.300000000000000711e+00,4.906084960029948405e+01,-1.050679187640149781e+00,3.599085652297207005e-01,3.599085652297207005e-01,5.688370869998190527e-01
7.350000000000000533e+00,4.939442251021382191e+01,-1.066936858573914071e+00,3.543609944192341321e-01,3.543609944192341321e-01,5.559969082258473527e-01
7.400000000000000355e+00,4.972934551821521865e+01,-1.082788959609917168e+00,4.034725058581392632e-01,4.034725058581392632e-01,5.552878835560565163e-01
7.450000000000000178e+00,5.006490920102474718e+01,-1.100776794731094688e+00,3.347201732365341909e-01,3.347201732365341909e-01,6.017267598005695550e-01
7.500000000000000000e+00,5.040251218366334029e+01,-1.114295316186727058e+00,2.920345365225962553e-01,2.920345365225962553e-01,5.952555836493712560e-01
7.550000000000000711e+00,5.074161158947373451e+01,-1.125085088713310588e+00,2.611556191579659791e-01,2.611556191579659791e-01,5.858426499260664944e-01
7.600000000000000533e+00,5.107049809133130225e+01,-1.133967365749367406e+00,2.588143116004569255e-01,2.588143116004569255e-01,6.190053503190386941e-01
7.650000000000000355e+00,5.139920750056061394e+01,-1.142057675312324605e+00,2.332629065432373361e-01,2.332629065432373361e-01,6.128910975017244356e-01
7.700000000000000178e+00,5.172613541681013061e+01,-1.148839989540615836e+00,2.369413317604902314e-01,2.369413317604902314e-01,5.993915940154077582e-01
7.750000000000000000e+00,5.205406357331730050e+01,-1.155193885298382961e+00,1.631616735217701897e-01,1.631616735217701897e-01,6.320031026556388598e-01
7.800000000000000711e+00,5.238065949017023115e+01,-1.157177656962974810e+00,1.071744364991961407e-01,1.071744364991961407e-01,6.148888114027224461e-01
7.850000000000000533e+00,5.270423492504531993e+01,-1.155405941772757794e+00,1.217289725787793903e-01,1.217289725787793903e-01,5.963427054056338328e-01
7.900000000000000355e+00,5.302822234738133034e+01,-1.154837963337198126e+00,1.406875178720456143e-01,1.406875178720456143e-01,6.278726484548314835e-01
7.950000000000000178e+00,5.335138150141251856e+01,-1.155809714726555137e+00,1.189086166557655200e-01,1.189086166557655200e-01,5.989609836836367052e-01
8.000000000000000000e+00,5.367628042710449421e+01,-1.154969787432907680e+00,1.459731829365003564e-01,1.459731829365003564e-01,5.873579765755927440e-01
8.050000000000000711e+00,5.399963655092224002e+01,-1.156211646733104281e+00,8.973826653212996218e-02,8.973826653212996218e-02,6.271054631751494801e-01
8.099999999999999645e+00,5.432374193921112493e+01,-1.154066503771750352e+00,6.308262794522852268e-02,6.308262794522852268e-02,5.835396658981654161e-01
8.150000000000000355e+00,5.464748909872861304e+01,-1.150031460896450364e+00,4.351521371309279018e-02,4.351521371309279018e-02,5.748626984140345897e-01
8.200000000000001066e+00,5.497018886878470312e+01,-1.145094520877381283e+00,2.168483827924989546e-02,2.168483827924989546e-02,6.100342259485768137e-01
8.250000000000000000e+00,5.529207923100410227e+01,-1.138704492052392769e+00,-2.135136227262039027e-02,-2.135136227262039027e-02,5.547197059700823552e-01
8.300000000000000711e+00,5.560994041728465476e+01,-1.129989909360336720e+00,-4.603172727006499265e-02,-4.603172727006499265e-02,5.503552864084110263e-01
8.349999999999999645e+00,5.592721061524220261e+01,-1.119784450554214272e+00,-7.236990705250830047e-02,-7.236990705250830047e-02,5.634942448045960894e-01
8.400000000000000355e+00,5.624360753526590884e+01,-1.108259074904850428e+00,-1.318439654911499337e-01,-1.318439654911499337e-01,5.107903618849891636e-01
8.450000000000001066e+00,5.655720300374454013e+01,-1.093179891621811173e+00,-9.753114758521870542e-02,-9.753114758521870542e-02,5.167790453493454894e-01
8.500000000000000000e+00,5.686635808341021203e+01,-1.080563548142397412e+00,-1.686414598989466329e-01,-1.686414598989466329e-01,4.990524065731478109e-01
8.550000000000000711e+00,5.717626329343524816e+01,-1.063797230312661490e+00,-1.669405244759268048e-01,-1.669405244759268048e-01,4.572804532289450608e-01
8.599999999999999645e+00,5.748702963155968604e+01,-1.047527391841663214e+00,-1.663245175386623420e-01,-1.663245175386623420e-01,4.896119054212078048e-01
8.650000000000000355e+00,5.779413702043910206e+01,-1.031656099809642013e+00,-2.427661446822402258e-01,-2.427661446822402258e-01,4.256124907745176267e-01
8.700000000000001066e+00,5.810135219135516138e+01,-1.011237483859624753e+00,-1.877388030867252200e-01,-1.877388030867252200e-01,4.071387090868309744e-01
8.750000000000000000e+00,5.841038238162292373e+01,-9.949269657099354403e-01,-1.758075351262931574e-01,-1.758075351262931574e-01,4.258882425424447282e-01
8.800000000000000711e+00,5.872493703024270673e+01,-9.797148914910126516e-01,-2.427081905631530423e-01,-2.427081905631530423e-01,3.559452088491080746e-01
8.849999999999999645e+00,5.903725651275635755e+01,-9.606601544107220558e-01,-2.302588051640412359e-01,-2.302588051640412359e-01,3.703457567165504560e-01
8.900000000000000355e+00,5.934956702185415622e+01,-9.427379968652299658e-01,-2.727734765127501904e-01,-2.727734765127501904e-01,3.457726621953451374e-01
8.950000000000001066e+00,5.966258326641377607e+01,-9.227616094109537537e-01,-2.178726867279875967e-01,-2.178726867279875967e-01,2.903112055939727765e-01
9.000000000000000000e+00,5.997835531739327308e+01,-9.066896527247451099e-01,-2.620742081811474056e-01,-2.620742081811474056e-01,3.440761213629459636e-01
9.050000000000000711e+00,6.029952169518262650e+01,-8.883468042877810111e-01,-2.271991958166851844e-01,-2.271991958166851844e-01,2.690271211351475955e-01
9.099999999999999645e+00,6.061972550423325856e+01,-8.724741282251640140e-01,-2.352656755498505337e-01,-2.352656755498505337e-01,2.384021108639664543e-01
9.150000000000000355e+00,6.093741265232993243e+01,-8.565662572892824844e-01,-2.014994599472848535e-01,-2.014994599472848535e-01,3.235798821208257237e-01
9.200000000000001066e+00,6.125345974461839660e+01,-8.429976000025942717e-01,-2.170637997724437773e-01,-2.170637997724437773e-01,2.029677045406756697e-01
9.250000000000000000e+00,6.157175175926261801e+01,-8.287524375676712518e-01,-2.512208052609565812e-01,-2.512208052609565812e-01,2.066292692577235135e-01
9.300000000000000711e+00,6.188906836965851710e+01,-8.128667220747963773e-01,-2.062909625031492111e-01,-2.062909625031492111e-01,2.574043463542770027e-01
9.349999999999999645e+00,6.221009175987032336e+01,-8.002290424803126800e-01,-2.427245373212302548e-01,-2.427245373212302548e-01,1.419301116979126698e-01
9.400000000000000355e+00,6.252955827686701440e+01,-7.854067286863158914e-01,-2.514953495841366626e-01,-2.514953495841366626e-01,1.900350386123619006e-01
9.450000000000001066e+00,6.285098945602301512e+01,-7.703373061404781286e-01,-2.065792141060854847e-01,-2.065792141060854847e-01,2.019239673832235182e-01
