t,x,y,a_cmd,a_sat,cte
2.800000000000000266e+00,1.852101704816399419e+01,-3.438142798252021293e-01,3.777317779764417516e-01,3.777317779764417516e-01,1.491716256852968769e-01
2.850000000000000089e+00,1.885911468627777410e+01,-3.585437129487806240e-01,2.961474883607806419e-01,2.961474883607806419e-01,2.081649229421814185e-01
2.900000000000000355e+00,1.919511898042544118e+01,-3.686433874012975398e-01,2.424779034624115204e-01,2.424779034624115204e-01,2.601528676809616303e-01
2.950000000000000178e+00,1.953298425540421235e+01,-3.756931161254713492e-01,1.900703605153572229e-01,1.900703605153572229e-01,1.737704291811080770e-01
3.000000000000000000e+00,1.987385045258962180e+01,-3.798956381987486086e-01,1.735235153760405491e-01,1.735235153760405491e-01,2.032638131474856502e-01
3.050000000000000266e+00,2.021683062438283685e+01,-3.832075692503457698e-01,1.662628937715232846e-01,1.662628937715232846e-01,2.853186569061793021e-01
3.100000000000000089e+00,2.055587624840849870e+01,-3.862359191863584673e-01,2.283827514138211112e-01,2.283827514138211112e-01,1.831792318973091971e-01
3.150000000000000355e+00,2.089276438159820160e+01,-3.924333117652823444e-01,2.488177023163142265e-01,2.488177023163142265e-01,1.914908735350045743e-01
3.200000000000000178e+00,2.123024058312966744e+01,-3.995059650313990685e-01,2.939171957370005361e-01,2.939171957370005361e-01,3.011186635846905824e-01
3.250000000000000000e+00,2.156488208319977673e+01,-4.086962021030922654e-01,2.670478697270897706e-01,2.670478697270897706e-01,2.006979729036919569e-01
3.300000000000000266e+00,2.190016037843104968e+01,-4.162404893163217379e-01,2.593503746670315913e-01,2.593503746670315913e-01,1.973934272813109014e-01
3.350000000000000089e+00,2.223886340600136435e+01,-4.231318169405560159e-01,1.755705388172976722e-01,1.755705388172976722e-01,2.961945036217039640e-01
3.400000000000000355e+00,2.258021179701437120e+01,-4.256140337284121111e-01,2.885108655455357329e-01,2.885108655455357329e-01,2.169277182121482073e-01
3.450000000000000178e+00,2.292446251948663516e+01,-4.337489839153046978e-01,2.624198583869685741e-01,2.624198583869685741e-01,1.946426597544916037e-01
3.500000000000000000e+00,2.327179519021832732e+01,-4.402828762577218891e-01,2.322235527902772323e-01,2.322235527902772323e-01,2.705855639982898131e-01
3.550000000000000266e+00,2.362004390378455909e+01,-4.451368993191633927e-01,2.032986510408434644e-01,2.032986510408434644e-01,2.510622999496118779e-01
3.600000000000000089e+00,2.396908899950537375e+01,-4.484675065445023479e-01,2.903431532708780627e-01,2.903431532708780627e-01,1.943510273160998780e-01
3.650000000000000355e+00,2.431695342597469178e+01,-4.561923115449307287e-01,3.227630643662582344e-01,3.227630643662582344e-01,2.407785808234280955e-01
3.700000000000000178e+00,2.466431221413564501e+01,-4.653298543915297403e-01,3.296771109888876894e-01,3.296771109888876894e-01,2.927454762415998002e-01
3.750000000000000000e+00,2.501432425461486631e+01,-4.744639038602551651e-01,3.645592605374057826e-01,3.645592605374057826e-01,2.185065191041165866e-01
3.800000000000000266e+00,2.536432059342798340e+01,-4.850469026996661048e-01,3.546163213947662318e-01,3.546163213947662318e-01,2.308555242949688058e-01
3.850000000000000089e+00,2.571272684107366757e+01,-4.947972250344179201e-01,3.254007640955863256e-01,3.254007640955863256e-01,3.195790272843006541e-01
3.900000000000000355e+00,2.605697408105609014e+01,-5.028605083107321461e-01,3.749812595470058962e-01,3.749812595470058962e-01,2.533758269463734503e-01
3.950000000000000178e+00,2.640076008558606091e+01,-5.131767058120680902e-01,3.324739745511235411e-01,3.324739745511235411e-01,2.359635313009226798e-01
4.000000000000000000e+00,2.673801102914386973e+01,-5.211814459645988107e-01,3.458831525140025343e-01,3.458831525140025343e-01,3.086440368808308077e-01
4.049999999999999822e+00,2.707436068445987587e+01,-5.296487028831612376e-01,2.348502036256595316e-01,2.348502036256595316e-01,2.791910421761255034e-01
4.100000000000000533e+00,2.740997929120066701e+01,-5.323323359369872554e-01,2.115893514276462328e-01,2.115893514276462328e-01,2.422241241049516158e-01
4.150000000000000355e+00,2.774536459277018707e+01,-5.339057110546051588e-01,1.032673572303311887e-01,1.032673572303311887e-01,3.011015116248485501e-01
4.200000000000000178e+00,2.807670423466165488e+01,-5.302739517330350427e-01,2.627233801040921093e-02,2.627233801040921093e-02,2.755081909196524514e-01
4.250000000000000000e+00,2.841041017955111769e+01,-5.230994544978109229e-01,-4.516650239970119995e-02,-4.516650239970119995e-02,2.218247566996524867e-01
4.299999999999999822e+00,2.874414772745547708e+01,-5.129072135607360972e-01,-1.005747688396046169e-01,-1.005747688396046169e-01,2.729216589802670456e-01
4.350000000000000533e+00,2.907876937268262907e+01,-5.006376450074719875e-01,-4.546787706641766680e-02,-4.546787706641766680e-02,2.480570976159305330e-01
4.400000000000000355e+00,2.941287510313642528e+01,-4.919569598319616932e-01,3.963262970511059052e-02,3.963262970511059052e-02,1.796212785412545365e-01
4.450000000000000178e+00,2.974959941855662748e+01,-4.881220457657734491e-01,3.626051281650970182e-02,3.626051281650970182e-02,2.383349333303698137e-01
4.500000000000000000e+00,3.008555085864948353e+01,-4.845191586880293610e-01,-1.045515913404014043e-02,-1.045515913404014043e-02,2.376251071471849052e-01
4.549999999999999822e+00,3.041860733277463069e+01,-4.789984649002019257e-01,-1.573103601363773840e-03,-1.573103601363773840e-03,1.560712009312096304e-01
4.600000000000000533e+00,3.075103078644724164e+01,-4.743998249214313456e-01,1.123067015278559309e-02,1.123067015278559309e-02,2.151884215602314354e-01
4.650000000000000355e+00,3.108473641254334296e+01,-4.708460556994095159e-01,-1.822251600590404225e-02,-1.822251600590404225e-02,2.262302441869355751e-01
4.700000000000000178e+00,3.142201554728773516e+01,-4.661480076004189121e-01,7.242321202520975165e-02,7.242321202520975165e-02,1.335725931328447802e-01
4.750000000000000000e+00,3.175789090557830363e+01,-4.664309226450711887e-01,5.868675612314569121e-03,5.868675612314569121e-03,1.923039560160305639e-01
4.800000000000000711e+00,3.209016692830495288e+01,-4.635918631298912573e-01,1.036654551934771372e-02,1.036654551934771372e-02,2.258875644717470710e-01
4.850000000000000533e+00,3.242221274760267846e+01,-4.613090126162123772e-01,6.922349184035150871e-02,6.922349184035150871e-02,1.195668474714758484e-01
4.900000000000000355e+00,3.275852191315131279e+01,-4.622372330458669465e-01,8.650603306271748005e-02,8.650603306271748005e-02,1.767294766810288131e-01
4.950000000000000178e+00,3.309314184692642868e+01,-4.641802159615046608e-01,1.148203215305826225e-01,1.148203215305826225e-01,2.293090665231644343e-01
5.000000000000000000e+00,3.342919759556866666e+01,-4.676131536889973628e-01,1.932928869866553934e-01,1.932928869866553934e-01,1.191629183912709111e-01
5.050000000000000711e+00,3.376349406307267742e+01,-4.749883340515453356e-01,1.465370856127041210e-01,1.465370856127041210e-01,1.689957158183467700e-01
5.100000000000000533e+00,3.409961052800764492e+01,-4.798145669919475220e-01,1.306548863521098391e-01,1.306548863521098391e-01,2.437139219773962473e-01
5.150000000000000355e+00,3.443433206061782670e+01,-4.837922636418672817e-01,1.470542861879206020e-01,1.470542861879206020e-01,1.288233869340384696e-01
