t,x,y,a_cmd,a_sat,cte
2.700000000000000178e+00,1.792055101758623081e+01,1.970990507149865123e-01,1.419768490735972000e-01,1.419768490735972000e-01,3.966957783865510123e-01
2.750000000000000000e+00,1.825771009663958111e+01,1.768503292710727759e-01,1.477175107959658729e-01,1.477175107959658729e-01,4.445030666311325929e-01
2.800000000000000266e+00,1.859499919070713503e+01,1.565300994904168519e-01,1.218283896972981034e-01,1.218283896972981034e-01,3.654834578871709594e-01
2.850000000000000089e+00,1.893266987289061376e+01,1.382333808452826940e-01,6.409402179731162053e-02,6.409402179731162053e-02,3.455470151967284798e-01
2.900000000000000355e+00,1.926817571222319359e+01,1.239011585151493927e-01,2.945166142198917675e-02,2.945166142198917675e-02,3.993982958585765020e-01
2.950000000000000178e+00,1.960547518272971956e+01,1.119680787707703212e-01,-3.347599512511346010e-03,-3.347599512511346010e-03,3.383046660966289032e-01
3.000000000000000000e+00,1.994571248929903717e+01,1.022513486781583825e-01,-5.974937378130078941e-03,-5.974937378130078941e-03,3.172284037936786705e-01
3.050000000000000266e+00,2.028800486497555156e+01,9.281913246636014359e-02,3.005034608733557228e-03,3.005034608733557228e-03,3.674033137967654961e-01
3.100000000000000089e+00,2.062630781662461033e+01,8.309084959760268396e-02,6.115291488489749822e-02,6.115291488489749822e-02,3.320543922908174572e-01
3.150000000000000355e+00,2.096240250128276372e+01,6.964263019138107469e-02,8.687116185457820217e-02,8.687116185457820217e-02,2.928953820536626673e-01
3.200000000000000178e+00,2.129903849972359353e+01,5.479049150246606548e-02,1.320486070102956655e-01,1.320486070102956655e-01,3.344342472256592869e-01
3.250000000000000000e+00,2.163279712516552777e+01,3.731278171204943650e-02,1.188565203212294669e-01,1.188565203212294669e-01,3.072603557458125634e-01
3.300000000000000266e+00,2.196715416810725685e+01,2.099020731666628725e-02,1.183138495817054603e-01,1.183138495817054603e-01,2.542948954860460020e-01
3.350000000000000089e+00,2.230490174707304618e+01,4.849765580777702645e-03,6.010194735463224996e-02,6.010194735463224996e-02,2.943268478803785504e-01
3.400000000000000355e+00,2.264526445688410661e+01,-7.332778746053472338e-03,1.590725996400700615e-01,1.590725996400700615e-01,2.898100679486773079e-01
3.450000000000000178e+00,2.298850264706872437e+01,-2.559221906983991796e-02,1.441178853945829785e-01,1.441178853945829785e-01,2.192577899945601927e-01
3.500000000000000000e+00,2.333480007147583635e+01,-4.265819488537681003e-02,1.254410402180245743e-01,1.254410402180245743e-01,2.431046458559646684e-01
3.550000000000000266e+00,2.368199461388268290e+01,-5.843344644875385352e-02,1.122202062006385642e-01,1.122202062006385642e-01,2.901599102164760802e-01
3.600000000000000089e+00,2.402996996407161845e+01,-7.305424037119558067e-02,1.929428719410871407e-01,1.929428719410871407e-01,1.944609752680069026e-01
3.650000000000000355e+00,2.437675219186990816e+01,-9.241481949059163203e-02,2.243642683381383840e-01,2.243642683381383840e-01,1.850507768459918878e-01
3.700000000000000178e+00,2.472302043396578597e+01,-1.135170227194448461e-01,2.290357401492685296e-01,2.290357401492685296e-01,2.748400379603129773e-01
3.750000000000000000e+00,2.507193783714304658e+01,-1.349311774224906113e-01,2.658408974184279794e-01,2.658408974184279794e-01,1.765921773119316640e-01
3.800000000000000266e+00,2.542083929321888291e+01,-1.580994686817820960e-01,2.607382280839801725e-01,2.607382280839801725e-01,1.155314969343032849e-01
3.850000000000000089e+00,2.576815471685324255e+01,-1.807309901385480699e-01,2.469587603856880642e-01,2.469587603856880642e-01,2.007841601960377031e-01
3.900000000000000355e+00,2.611131907641469851e+01,-2.019616195956816518e-01,2.971211429255159464e-01,2.971211429255159464e-01,1.816844944260235239e-01
3.950000000000000178e+00,2.645403367421160112e+01,-2.257167236225408880e-01,2.720084966796978421e-01,2.720084966796978421e-01,5.644591598271635202e-02
4.000000000000000000e+00,2.679022896653568964e+01,-2.474196111717720248e-01,2.859013047464589174e-01,2.859013047464589174e-01,1.526880258459869522e-01
4.049999999999999822e+00,2.712554228355481456e+01,-2.698266913983699000e-01,2.075066899421628974e-01,2.075066899421628974e-01,1.882936926910078745e-01
4.100000000000000533e+00,2.746014730205615706e+01,-2.866769909088280333e-01,1.951947273353987489e-01,1.951947273353987489e-01,2.622857227902671007e-02
4.150000000000000355e+00,2.779454344166223123e+01,-3.026177776977068690e-01,1.171500719848093536e-01,1.171500719848093536e-01,1.363112712008338057e-01
4.200000000000000178e+00,2.812491957105587659e+01,-3.135278334897272923e-01,6.799930899000375395e-02,6.799930899000375395e-02,1.949315250514438713e-01
4.250000000000000000e+00,2.845768712654629695e+01,-3.210348599342239262e-01,2.239487609016122677e-02,2.239487609016122677e-02,3.606895938603218305e-02
4.299999999999999822e+00,2.879050995074266694e+01,-3.256232626271197139e-01,-9.379177043572333936e-03,-9.379177043572333936e-03,1.342581743061603550e-01
4.350000000000000533e+00,2.912423830615982823e+01,-3.281888055037175955e-01,4.782389872434517769e-02,4.782389872434517769e-02,2.018373405318994174e-01
4.400000000000000355e+00,2.945746961534980102e+01,-3.343506023133421268e-01,1.249587455113668061e-01,1.249587455113668061e-01,4.349002360691329311e-02
4.450000000000000178e+00,2.979333751900100324e+01,-3.453255060997481585e-01,1.285265597093223078e-01,1.285265597093223078e-01,1.259860767018748384e-01
4.500000000000000000e+00,3.012845154273122006e+01,-3.564698356773502441e-01,1.009264781377479381e-01,1.009264781377479381e-01,2.156841050484228917e-01
4.549999999999999822e+00,3.046069048797502532e+01,-3.656059175669192918e-01,1.140982514818942722e-01,1.140982514818942722e-01,6.417945539170226421e-02
4.600000000000000533e+00,3.079231648702170432e+01,-3.755424070587835561e-01,1.291615075558583126e-01,1.291615075558583126e-01,1.259158449065228558e-01
4.650000000000000355e+00,3.112524516874813685e+01,-3.863743431629759195e-01,1.140843045125241317e-01,1.140843045125241317e-01,2.238586630332469740e-01
4.700000000000000178e+00,3.146176853255658301e+01,-3.958885009462178584e-01,1.907479101761777596e-01,1.907479101761777596e-01,8.398017508633877359e-02
4.750000000000000000e+00,3.179690955228359783e+01,-4.101840469129796052e-01,1.381826909569982831e-01,1.381826909569982831e-01,1.268389366023894849e-01
4.800000000000000711e+00,3.212847443515849477e+01,-4.211422245454736202e-01,1.488011436644042229e-01,1.488011436644042229e-01,2.411185916731868883e-01
4.850000000000000533e+00,3.245983258859126863e+01,-4.324221351783178457e-01,1.983933227468294147e-01,1.983933227468294147e-01,1.076343866127866394e-01
4.900000000000000355e+00,3.279547799463932023e+01,-4.466601948532583632e-01,2.105727150697541961e-01,2.105727150697541961e-01,1.388203233750968102e-01
4.950000000000000178e+00,3.312945932160195639e+01,-4.616486284200628232e-01,2.396742656001940586e-01,2.396742656001940586e-01,2.602861320469342932e-01
5.000000000000000000e+00,3.346490270369897502e+01,-4.778551980650568298e-01,2.983822159870002100e-01,2.983822159870002100e-01,1.435994045494833615e-01
5.050000000000000711e+00,3.379861438948617547e+01,-4.977256864240400813e-01,2.569136085617775844e-01,2.569136085617775844e-01,1.638196992912037964e-01
5.100000000000000533e+00,3.413417558773843297e+01,-5.147717531047267814e-01,2.396238804677706113e-01,2.396238804677706113e-01,2.909056654315695933e-01
5.150000000000000355e+00,3.446837192841081787e+01,-5.306939207495006139e-01,2.553965292785699281e-01,2.553965292785699281e-01,1.857715805673271769e-01
5.200000000000000178e+00,3.479905295811114740e+01,-5.471668989137350447e-01,2.418709300683396235e-01,2.418709300683396235e-01,1.942975129990587302e-01
5.250000000000000000e+00,3.513333583312314090e+01,-5.625493367517648835e-01,2.594405580301514247e-01,2.594405580301514247e-01,3.065714256083316713e-01
5.300000000000000711e+00,3.547365680853003056e+01,-5.792832482243096548e-01,2.668708035303465342e-01,2.668708035303465342e-01,2.254028244172426865e-01
5.350000000000000533e+00,3.581536803107044875e+01,-5.957643752952327398e-01,2.567862044509337527e-01,2.567862044509337527e-01,2.221795224474840680e-01
5.400000000000000355e+00,3.615841723951725584e+01,-6.114736045921421725e-01,2.797459582928220057e-01,2.797459582928220057e-01,3.083939329591597889e-01
5.450000000000000178e+00,3.649980210387675328e+01,-6.286845934438721750e-01,2.776410251525920359e-01,2.776410251525920359e-01,2.751514042819656614e-01
5.500000000000000000e+00,3.684915726488080168e+01,-6.452632008552582343e-01,2.977388313433352307e-01,2.977388313433352307e-01,2.540669033068079230e-01
5.550000000000000711e+00,3.719292499842868693e+01,-6.627105505023864751e-01,3.071753022251821341e-01,3.071753022251821341e-01,3.149656158581029541e-01
5.600000000000000533e+00,3.753830627109912399e+01,-6.805977637844301542e-01,2.549247032642595334e-01,2.549247032642595334e-01,3.338789015986631248e-01
5.650000000000000355e+00,3.788709400691640639e+01,-6.949095873811879098e-01,2.605814355586685838e-01,2.605814355586685838e-01,2.940044294539803649e-01
5.700000000000000178e+00,3.823524110327123537e+01,-7.095898965884007703e-01,2.837584828361468525e-01,2.837584828361468525e-01,3.248251373726215863e-01
5.750000000000000000e+00,3.858049201251210292e+01,-7.252337975368848833e-01,2.256835629679480593e-01,2.256835629679480593e-01,3.896345913664113203e-01
5.800000000000000711e+00,3.892163264920586130e+01,-7.367669365194832176e-01,2.678564387568104777e-01,2.678564387568104777e-01,3.314581005196280961e-01
5.850000000000000533e+00,3.926682624897357243e+01,-7.507653803201436160e-01,3.244400670316125446e-01,3.244400670316125446e-01,3.422824447528790004e-01
5.900000000000000355e+00,3.960867952617365262e+01,-7.685533414641013694e-01,4.346786078929520958e-01,4.346786078929520958e-01,4.177116487505962983e-01
5.950000000000000178e+00,3.994780273931574044e+01,-7.936075379294978971e-01,3.902365192931825932e-01,3.902365192931825932e-01,3.844448609076239753e-01
6.000000000000000000e+00,4.028375015214732002e+01,-8.141047832919817706e-01,3.355351762277533068e-01,3.355351762277533068e-01,3.895218964389052796e-01
6.050000000000000711e+00,4.061866465721449515e+01,-8.312180405690920981e-01,2.433829646275302294e-01,2.433829646275302294e-01,4.531567569588374478e-01
6.100000000000000533e+00,4.095217449900440698e+01,-8.425617580251689720e-01,2.534639482003283040e-01,2.534639482003283040e-01,4.245373698876203084e-01
6.150000000000000355e+00,4.128611570129113773e+01,-8.538982526205787238e-01,2.453655537911743623e-01,2.453655537911743623e-01,4.172678485461757125e-01
6.200000000000000178e+00,4.162672135183020572e+01,-8.650890111648518177e-01,2.277865177694339827e-01,2.277865177694339827e-01,4.668756121125355874e-01
6.250000000000000000e+00,4.196391610274472583e+01,-8.747536688576816877e-01,1.758218663477759958e-01,1.758218663477759958e-01,4.506724942008794588e-01
6.300000000000000711e+00,4.230086716697938698e+01,-8.806332987389385858e-01,1.238848620889821811e-01,1.238848620889821811e-01,4.315023879114440186e-01
6.350000000000000533e+00,4.263523403582976101e+01,-8.834950968568274776e-01,1.377582777065259612e-01,1.377582777065259612e-01,4.674280739110522331e-01
6.400000000000000355e+00,4.297174580003157018e+01,-8.873241660605540870e-01,1.665242355810384323e-01,1.665242355810384323e-01,4.572798517230179938e-01
6.450000000000000178e+00,4.330855128566705758e+01,-8.925791168288662591e-01,1.771062487986103384e-01,1.771062487986103384e-01,4.322702692983352857e-01
6.500000000000000000e+00,4.365143377949313219e+01,-8.989273118487393077e-01,2.061566714312054738e-01,2.061566714312054738e-01,4.631010797365578413e-01
6.550000000000000711e+00,4.399290978135946517e+01,-9.073262769172537601e-01,2.010130299513768759e-01,2.010130299513768759e-01,4.760651640466487811e-01
6.600000000000000533e+00,4.433327587840865647e+01,-9.149398162404214219e-01,2.137202428976663349e-01,2.137202428976663349e-01,4.444774137769280098e-01
6.650000000000000355e+00,4.467549579793100634e+01,-9.233760876574883536e-01,2.575088695167024322e-01,2.575088695167024322e-01,4.662819615548699503e-01
6.700000000000000178e+00,4.501702135842052144e+01,-9.347555455705037764e-01,1.360319762632066776e-01,1.360319762632066776e-01,5.039252409627024143e-01
6.750000000000000000e+00,4.535615675204034147e+01,-9.379590249685539893e-01,1.557737926204076639e-01,1.557737926204076639e-01,4.593348281894671925e-01
6.800000000000000711e+00,4.569788013294889595e+01,-9.424754468332314783e-01,1.791481160669778361e-01,1.791481160669778361e-01,4.670729091581162229e-01
6.850000000000000533e+00,4.603585752588214319e+01,-9.488207832107766748e-01,1.724281045559021841e-01,1.724281045559021841e-01,5.184016742084626150e-01
6.900000000000000355e+00,4.637361428094054361e+01,-9.542992540187398287e-01,2.200784184843180280e-01,2.200784184843180280e-01,4.684671825458019967e-01
6.950000000000000178e+00,4.670923549716107459e+01,-9.624264662821844230e-01,1.797716013550690051e-01,1.797716013550690051e-01,4.725687158969053558e-01
7.000000000000000000e+00,4.704848669572960773e+01,-9.685488664908892265e-01,1.736824502396461245e-01,1.736824502396461245e-01,5.246438498210693746e-01
7.050000000000000711e+00,4.738656580209608649e+01,-9.744703700453356543e-01,3.014692895567536168e-01,3.014692895567536168e-01,4.815883889130258555e-01
7.100000000000000533e+00,4.772307279637336563e+01,-9.873958936049520574e-01,3.311984157222609970e-01,3.311984157222609970e-01,4.835483094172577934e-01
7.150000000000000355e+00,4.805973190722614419e+01,-1.002257012490814558e+00,3.379031273563118387e-01,3.379031273563118387e-01,5.373749982210360709e-01
7.200000000000000178e+00,4.839357338174702505e+01,-1.017836683230023187e+00,3.871670286731824784e-01,3.871670286731824784e-01,5.166297075756934865e-01
7.250000000000000000e+00,4.872922301486343599e+01,-1.035482377991338465e+00,3.362211029143783447e-01,3.362211029143783447e-01,5.193168187180742246e-01
7.300000000000000711e+00,4.906091392390440120e+01,-1.050308176258611281e+00,3.595066935047632750e-01,3.595066935047632750e-01,5.684692157475079721e-01
7.350000000000000533e+00,4.939448612788075366e+01,-1.066547361657413484e+00,3.693376586903688863e-01,3.693376586903688863e-01,5.556300893990060441e-01
