x,y,psi,kappa,s
2.048491952538720184e+01,-2.173579322947356007e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.048607451779821886e+01
2.098130640352468745e+01,-2.226420722964310150e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.098248952051533678e+01
2.147769328166217306e+01,-2.279262122981264849e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.147890452323245469e+01
2.197408015979966223e+01,-2.332103522998219269e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.197531952594957616e+01
2.247046703793714784e+01,-2.384944923015173690e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.247173452866669408e+01
2.296685391607463345e+01,-2.437786323032127833e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.296814953138381199e+01
2.346324079421211906e+01,-2.490627723049082531e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.346456453410092990e+01
2.395962767234960467e+01,-2.543469123066036675e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.396097953681804782e+01
2.445601455048709383e+01,-2.596310523082990818e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.445739453953516929e+01
2.495240142862457944e+01,-2.649151923099945516e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.495380954225228720e+01
2.544878830676206505e+01,-2.701993323116900214e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.545022454496940512e+01
2.594517518489955421e+01,-2.754834723133854912e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.594663954768652658e+01
2.644156206303703982e+01,-2.807676123150809055e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.644305455040364450e+01
2.693794894117452188e+01,-2.860517523167763199e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.693946955312075886e+01
2.743433581931201104e+01,-2.913358923184717897e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.743588455583788033e+01
2.793072269744949665e+01,-2.966200323201672040e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.793229955855499824e+01
2.842710957558698226e+01,-3.019041723218626738e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.842871456127211616e+01
2.892349645372446787e+01,-3.071883123235580881e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.892512956398923407e+01
2.941988333186195703e+01,-3.124724523252535024e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.942154456670635554e+01
2.991627020999944619e+01,-3.177565923269490278e-01,-1.064480276922244451e-02,0.000000000000000000e+00,2.991795956942347701e+01
3.041265708813692470e+01,-3.230407323286443866e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.041437457214058782e+01
3.090904396627441386e+01,-3.283248723303399119e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.091078957485770928e+01
3.140543084441189592e+01,-3.336090123320352707e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.140720457757482365e+01
3.190181772254938508e+01,-3.388931523337307405e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.190361958029194511e+01
3.239820460068687424e+01,-3.441772923354262104e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.240003458300906658e+01
3.289459147882435985e+01,-3.494614323371216247e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.289644958572618805e+01
3.339097835696184546e+01,-3.547455723388170945e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.339286458844330951e+01
3.388736523509932397e+01,-3.600297123405124533e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.388927959116042388e+01
3.438375211323681668e+01,-3.653138523422079231e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.438569459387755245e+01
3.488013899137430229e+01,-3.705979923439033930e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.488210959659467392e+01
3.537652586951178790e+01,-3.758821323455988073e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.537852459931179538e+01
3.587291274764928062e+01,-3.811662723472942771e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.587493960202892396e+01
3.636929962578675912e+01,-3.864504123489896914e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.637135460474603832e+01
3.686568650392425184e+01,-3.917345523506851612e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.686776960746316689e+01
3.736207338206173034e+01,-3.970186923523805755e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.736418461018028125e+01
3.785846026019921595e+01,-4.023028323540759899e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.786059961289740272e+01
3.835484713833670867e+01,-4.075869723557714597e-01,-1.064480276922244451e-02,0.000000000000000000e+00,3.835701461561453129e+01
